docs,corpus_size,vocabulary_size
1,554,343
2,5871,1823
3,6135,1875
4,6288,1927
5,6443,1946
6,6609,1956
7,6933,2018
8,7122,2061
9,7416,2109
10,7957,2307
11,8356,2389
12,9053,2583
13,9169,2588
14,9336,2616
15,9493,2622
16,9648,2630
17,9812,2637
18,9952,2655
19,10155,2675
20,10382,2713
21,10531,2736
22,10704,2776
23,10907,2808
24,11538,3095
25,11805,3154
26,12136,3220
27,12270,3230
28,12468,3269
29,12618,3277
30,13249,3354
31,14039,3470
32,14544,3542
33,14827,3584
34,15057,3630
35,15482,3756
36,15898,3841
37,16062,3844
38,16321,3868
39,16837,3964
40,17830,4059
41,18350,4191
42,19130,4281
43,19643,4370
44,21323,4661
45,22010,4780
46,22215,4791
47,22639,4845
48,22823,4876
49,22987,4879
50,25918,5513
51,26082,5516
52,26469,5554
53,26633,5559
54,27194,5608
55,28115,5705
56,29226,5879
57,29914,5967
58,30085,5982
59,30467,6038
60,30954,6126
61,31175,6149
62,31620,6175
63,32369,6262
64,32658,6282
65,34294,6450
66,34415,6454
67,34614,6481
68,34907,6505
69,35269,6521
70,35603,6557
71,35932,6593
72,36585,6660
73,37211,6727
74,38136,6815
75,38604,6924
76,39801,7093
77,40386,7153
78,40804,7178
79,41458,7194
80,42003,7239
81,42710,7379
82,43523,7459
83,43866,7501
84,47143,7843
85,47482,7886
86,47868,7917
87,48158,7971
88,48716,8029
89,48903,8034
90,49269,8052
91,56833,8567
92,57427,8648
93,58583,8886
94,59370,8948
95,60291,9162
96,62607,9308
97,62934,9327
98,63798,9474
99,64192,9516
100,65165,9680
101,65512,9704
102,65895,9723
103,69856,10004
104,70384,10048
105,70539,10052
106,70703,10055
107,72751,10529
108,73526,10708
109,73685,10711
110,73841,10716
111,74030,10725
112,74193,10730
113,74404,10742
114,74529,10744
115,74757,10760
116,75638,11030
117,75761,11036
118,76112,11062
119,76394,11098
120,77825,11363
121,77981,11368
122,78137,11372
123,79501,11452
124,79780,11469
125,80138,11511
126,80293,11516
127,80452,11522
128,80617,11527
129,81052,11589
130,81747,11766
131,81904,11769
132,82063,11775
133,82211,11778
134,83357,11980
135,83704,12017
136,83864,12019
137,84734,12126
138,84859,12137
139,85283,12193
140,85486,12225
141,85645,12228
142,85813,12232
143,85998,12239
144,87491,12449
145,87651,12451
146,87954,12460
147,88299,12506
148,89585,12727
149,92509,13161
