docs,corpus_size,vocabulary_size
1,336,232
2,482,267
3,824,452
4,951,485
5,1341,734
6,1573,814
7,1895,910
8,2107,969
9,2225,983
10,2339,999
11,2582,1060
12,2765,1121
13,2897,1148
14,3025,1164
15,3694,1368
16,3843,1397
17,4095,1476
18,4443,1582
19,4903,1726
20,5117,1765
21,5669,1972
22,6028,2094
23,6211,2136
24,6372,2170
25,7053,2337
26,7248,2402
27,7427,2425
28,7636,2457
29,8143,2594
30,8977,2849
31,10216,3263
32,10453,3317
33,10679,3357
34,10925,3404
35,11114,3446
36,11384,3549
37,11512,3571
38,11677,3594
39,11861,3640
40,12393,3774
41,12629,3822
42,12747,3829
43,12873,3832
44,13340,3933
45,13545,3976
46,13708,4000
47,14156,4078
48,15044,4282
49,15374,4364
50,15495,4381
51,15865,4428
52,16282,4508
53,17708,4741
54,17845,4761
55,18271,4839
56,18427,4855
57,18927,4958
58,19624,5100
59,19935,5151
60,20144,5181
61,20306,5207
62,20466,5216
63,20663,5229
64,20998,5288
65,21156,5313
66,21297,5325
67,21444,5340
68,21697,5374
69,21956,5395
70,22091,5406
71,22432,5485
72,22727,5520
73,22906,5536
74,23389,5692
75,23572,5724
76,23903,5789
77,25093,5985
78,25440,6035
79,25872,6127
80,26427,6193
81,26610,6214
82,26788,6227
83,27022,6306
84,27646,6466
85,28108,6624
86,28434,6682
87,28610,6698
88,28991,6789
89,29144,6803
90,29300,6814
91,29774,6883
92,29971,6899
93,30293,6950
94,30401,6952
95,30713,7004
96,30874,7014
97,31160,7078
98,31277,7084
99,31662,7121
100,33026,7366
101,33158,7371
102,34611,7731
103,34872,7765
104,35213,7817
105,35328,7822
106,35584,7853
107,35833,7885
108,36118,7935
109,38807,8204
110,40027,8372
111,41449,8650
112,41908,8715
113,42262,8761
114,42742,8820
115,43049,8862
116,43256,8877
117,44456,9106
118,45253,9219
119,45455,9237
120,45586,9242
121,45723,9260
122,46333,9356
123,46858,9436
124,47139,9466
125,47939,9585
126,48691,9693
127,52021,10046
128,52157,10053
129,52319,10066
130,52557,10107
131,52675,10114
132,53635,10256
133,53934,10302
134,54280,10350
135,54509,10367
136,54700,10401
137,54967,10429
138,56274,10619
139,57137,10753
140,57380,10823
141,57570,10834
142,57715,10843
143,57954,10863
144,58214,10888
