link,frequency,texts
Brazil.html,83,"Brazil, BRA, Brazilian"
August_26.html,25,"08-26, 26, August 26, 26 August"
Manga.html,14,"manga, Manga"
Magazine.html,13,"magazine, magazines, Magazine"
Mollusca.html,12,Mollusca
Victoria_of_the_United_Kingdom_5e8e.html,8,"Queen Victoria, Queen, Victoria of the United Kingdom, Victoria"
Screenwriter.html,7,"Writer(s), screenwriter, Screenwriter"
Kidney.html,6,"kidneys, Renal, kidney"
Tottenham_Hotspur_F.C._6bd2.html,5,"Tottenham Hotspur, Tottenham"
Tuscany.html,4,Tuscany
